machine_id,timestamp,temperature,vibration,pressure
PUMP_A,2026-02-24 14:33:15,64.13,1.451,4.03
PUMP_B,2026-02-24 14:33:15,71.28,2.154,4.33
MOTOR_C,2026-02-24 14:33:15,64.92,2.126,4.31
COMPRESSOR_D,2026-02-24 14:33:15,71.0,1.189,4.79
PUMP_A,2026-02-24 14:33:17,63.55,2.295,4.52
PUMP_B,2026-02-24 14:33:17,68.47,1.196,3.66
MOTOR_C,2026-02-24 14:33:17,62.52,2.051,3.92
COMPRESSOR_D,2026-02-24 14:33:17,68.29,1.274,4.02
PUMP_A,2026-02-24 14:33:19,64.9,1.452,4.03
PUMP_B,2026-02-24 14:33:19,65.07,1.644,3.99
MOTOR_C,2026-02-24 14:33:19,64.01,1.735,3.86
COMPRESSOR_D,2026-02-24 14:33:19,70.55,2.092,4.8
PUMP_A,2026-02-24 14:33:21,70.56,1.233,4.1
PUMP_B,2026-02-24 14:33:21,62.36,1.08,4.08
MOTOR_C,2026-02-24 14:33:21,72.62,1.008,3.87
COMPRESSOR_D,2026-02-24 14:33:21,65.19,1.656,4.54
PUMP_A,2026-02-24 14:33:25,71.24,1.54,4.53
PUMP_B,2026-02-24 14:33:25,72.22,2.305,3.63
MOTOR_C,2026-02-24 14:33:25,63.16,1.838,3.8
COMPRESSOR_D,2026-02-24 14:33:25,72.67,1.912,3.96
PUMP_A,2026-02-24 14:33:27,67.84,1.556,4.34
PUMP_B,2026-02-24 14:33:27,66.46,1.129,4.19
MOTOR_C,2026-02-24 14:33:27,65.18,1.002,4.7
COMPRESSOR_D,2026-02-24 14:33:27,66.34,1.204,4.7
PUMP_A,2026-02-24 14:33:29,66.36,1.428,3.78
PUMP_B,2026-02-24 14:33:29,64.78,2.073,4.15
MOTOR_C,2026-02-24 14:33:29,70.62,1.767,4.34
COMPRESSOR_D,2026-02-24 14:33:29,63.56,2.241,4.16
PUMP_A,2026-02-24 14:33:31,70.06,1.558,3.85
PUMP_B,2026-02-24 14:33:31,73.2,1.612,3.8
MOTOR_C,2026-02-24 14:33:31,66.55,1.013,4.67
COMPRESSOR_D,2026-02-24 14:33:31,65.19,2.379,4.56
PUMP_A,2026-02-24 14:33:33,70.13,1.668,4.43
PUMP_B,2026-02-24 14:33:33,70.51,1.565,3.97
MOTOR_C,2026-02-24 14:33:33,70.04,2.391,4.1
COMPRESSOR_D,2026-02-24 14:33:33,67.51,1.107,4.35
PUMP_A,2026-02-24 14:33:35,71.34,1.943,4.27
PUMP_B,2026-02-24 14:33:35,72.42,1.149,3.88
MOTOR_C,2026-02-24 14:33:35,62.11,1.809,4.31
COMPRESSOR_D,2026-02-24 14:33:35,72.1,1.898,3.66
PUMP_A,2026-02-24 14:33:37,72.51,1.938,4.46
PUMP_B,2026-02-24 14:33:37,67.27,2.354,3.94
MOTOR_C,2026-02-24 14:33:37,68.13,1.041,4.63
COMPRESSOR_D,2026-02-24 14:33:37,66.62,1.18,3.96
PUMP_A,2026-02-24 14:33:39,72.85,1.502,4.0
PUMP_B,2026-02-24 14:33:39,71.88,1.132,3.95
MOTOR_C,2026-02-24 14:33:39,66.99,1.084,4.68
COMPRESSOR_D,2026-02-24 14:33:39,68.25,2.029,4.39
PUMP_A,2026-02-24 14:33:41,64.3,1.714,3.84
PUMP_B,2026-02-24 14:33:41,66.52,1.696,4.61
MOTOR_C,2026-02-24 14:33:41,66.69,1.254,4.31
COMPRESSOR_D,2026-02-24 14:33:41,71.58,2.046,4.19
PUMP_A,2026-02-24 14:33:43,72.04,2.04,3.97
PUMP_B,2026-02-24 14:33:43,71.82,1.818,3.64
MOTOR_C,2026-02-24 14:33:43,72.04,1.914,4.15
COMPRESSOR_D,2026-02-24 14:33:43,71.71,1.464,4.45
PUMP_A,2026-02-24 14:33:45,66.64,1.349,4.43
PUMP_B,2026-02-24 14:33:45,62.3,2.273,4.55
MOTOR_C,2026-02-24 14:33:45,63.46,2.367,4.49
COMPRESSOR_D,2026-02-24 14:33:45,64.41,1.946,4.79
PUMP_A,2026-02-24 14:33:47,64.81,1.043,4.29
PUMP_B,2026-02-24 14:33:47,72.24,1.361,4.67
MOTOR_C,2026-02-24 14:33:47,70.8,2.31,4.79
COMPRESSOR_D,2026-02-24 14:33:47,64.59,2.286,4.63
PUMP_A,2026-02-24 14:33:49,69.6,2.155,3.7
PUMP_B,2026-02-24 14:33:49,73.1,1.66,4.26
MOTOR_C,2026-02-24 14:33:49,68.49,1.884,3.88
COMPRESSOR_D,2026-02-24 14:33:49,71.0,1.161,4.64
PUMP_A,2026-02-24 14:33:51,73.4,2.066,4.24
PUMP_B,2026-02-24 14:33:51,65.75,1.751,4.08
MOTOR_C,2026-02-24 14:33:51,63.53,1.34,4.56
COMPRESSOR_D,2026-02-24 14:33:51,62.08,1.803,4.67
PUMP_A,2026-02-24 14:33:53,68.1,1.656,3.85
PUMP_B,2026-02-24 14:33:53,62.11,2.381,4.63
MOTOR_C,2026-02-24 14:33:53,73.56,1.794,4.77
COMPRESSOR_D,2026-02-24 14:33:53,62.45,1.485,4.37
PUMP_A,2026-02-24 14:33:55,63.66,1.598,4.62
PUMP_B,2026-02-24 14:33:55,68.25,1.084,4.16
MOTOR_C,2026-02-24 14:33:55,71.85,2.164,3.61
COMPRESSOR_D,2026-02-24 14:33:55,68.23,1.201,3.65
PUMP_A,2026-02-24 14:33:58,71.47,2.372,4.09
PUMP_B,2026-02-24 14:33:58,66.97,1.679,4.64
MOTOR_C,2026-02-24 14:33:58,63.62,2.143,4.61
COMPRESSOR_D,2026-02-24 14:33:58,69.71,1.963,3.8
PUMP_A,2026-02-24 14:34:00,67.87,1.885,4.14
PUMP_B,2026-02-24 14:34:00,64.18,2.335,3.78
MOTOR_C,2026-02-24 14:34:00,71.59,1.833,4.78
COMPRESSOR_D,2026-02-24 14:34:00,71.07,1.049,3.77
